id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
3235,غَمِدَ,غمد,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَمَد
3236,غَمَرَ,غمر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَمْر
3237,غَمِرَ,غمر,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَمَر
3238,غَمُرَ,غمر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,غُمُورَة
3239,غَمَزَ,غمز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْز
3240,غَمَسَ,غمس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْس
3241,غَمِشَ,غمش,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَمَش
3242,غَمَصَ,غمص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْص
3243,غَمِصَ,غمص,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب ,غَمَض
3244,غَمَضَ,غمض,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غَمْض
3245,غَمَضَ,غمض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غُمُوض
3246,غَمُضَ,غمض,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,غَمَاضَة
3247,غَمَطَ,غمط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْط
3248,غَمِطَ,غمط,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب,غَمِط
3249,غَمَقَ,غمق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,غَمْق
3250,غَمِقَ,غمق,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَمِق
3251,غَمُقَ,غمق,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,غُمُوقَة
3252,غَمَلَ,غمل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَمْل
3253,غَمِلَ,غمل,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَمَل
3254,غَمَّ,غمم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَمّ
3255,غَمَّ,غمم,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غُمُوم
3256,غَمَنَ,غمن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَمَن
